Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
646_40,0.88,1040.97,259.22,146.76,2057.09
US_410,2.11,1068.76,17716.9,11378.86,2341.66
US_406,2.81,336.71,412.85,5745.32,2597.09
US_200,3.68,1314.06,2791.88,7854.08,483.17
US_180,3.7,406.14,498.71,3251.85,1721.18
US_336,3.77,556.21,198.86,600.11,1184.94
US_164,4.31,225.05,662.08,273.93,2834.46
US_396,4.41,534.94,295.66,100.78,1443.46
625_24,4.89,568.55,150.96,807.08,2080.81
US_220,4.9,662.47,581.97,1938.06,5969.68
US_281,4.93,929.43,588.57,2037.78,2782.31
US_430,5.03,556.46,385.91,882.58,2989.15
US_409,5.05,507.01,568.6,707.63,1875.27
US_419,5.06,865.69,491.31,809.62,3030.68
625_27,5.11,1048.07,311.63,1202.7,3635.36
US_224,5.41,1090.92,520.83,1463.03,1761.04
US_225,5.41,807.57,783.93,3898.24,3195.44
US_383,5.47,1222.55,231.03,145.97,4552.57
US_65,5.51,813.98,941.19,4890.07,5450.14
US_66,5.57,813.98,941.19,4890.07,2344.31
US_163,5.62,639.62,637.44,3525.71,7047.8
US_435,5.83,631.36,1003.87,4344.12,2567.68
US_379,6.28,320.37,614.89,505.38,2908.37
US_219,6.46,807.57,783.93,3898.24,2769.07
US_227,6.84,438.03,575.22,1472.31,2.02
US_134,6.84,474.56,408.55,905.31,7927.95
US_223,6.84,1090.92,520.83,1463.03,1698.79
US_438,6.97,2914.86,121.27,90.27,0.0
US_428,7.01,2808.97,174.07,101.21,2799.52
US_418,7.43,575.11,895.05,1192.14,2793.53
625_25,7.46,104.56,152.26,409.32,2364.97
US_92,8.08,66.41,1127.04,5404.77,2783.51
646_121,8.63,160.05,209.3,144.51,1631.27
646_122,8.63,160.05,209.3,144.51,4353.91
US_280,8.94,335.21,855.46,1472.23,1916.78
625_26,9.15,606.31,502.42,1310.9,1979.86
US_83,9.16,1161.86,459.05,1063.15,3952.63
625_22,9.19,352.97,574.96,192.66,5804.04
US_93,9.3,482.52,185.86,129.25,1994.16
31678_23,10.16,113.91,12070.38,20482.72,3071.54
US_382,10.3,153.75,279.14,505.48,1597.94
US_437,10.45,1080.22,157.69,101.39,2063.05
US_415,10.71,4626.95,398.8,186.14,7909.4
US_466,10.88,1133.17,154.02,464.03,1732.82
US_221,11.53,342.25,426.18,575.3,3506.17
US_414,11.85,1176.44,230.97,103.78,3917.41
US_53,12.28,140.91,1144.61,2303.93,0.38
625_23,12.67,54.28,1544.13,908.88,5480.5
US_351,13.17,232.87,544.0,63.25,0.63
US_142,13.64,794.89,314.23,174.52,9452.96
625_18,13.7,48.14,1435.84,3382.31,5529.43
625_20,13.88,121.05,335.95,331.66,66870.62
US_150,13.93,118.99,737.73,272.17,15657.16
646_123,14.61,89.84,1144.32,64.87,1739.47
US_42,15.06,249.05,122.86,265.68,5384.65
31678_32,15.37,127.48,8489.22,48469.41,2780.26
625_4,15.39,1149.01,568.61,4387.49,1839.72
US_345,15.63,963.6,259.57,1060.22,283.99
US_297,15.72,1060.11,416.6,791.41,17.06
646_11,15.88,193.29,800.86,1082.58,5026.29
US_54,16.17,698.95,518.78,1469.93,1759.96
US_8,16.8,521.43,7921.0,1117.04,5636.28
US_87,17.0,112.46,1267.48,17049.58,2461.56
US_139,17.0,106.03,46239.11,46782.2,2195.79
625_21,17.25,258.33,453.46,623.91,5871.05
625_29,17.67,780.82,119.22,175.98,1205.71
646_42,17.99,2802.57,35420.71,4572.15,0.17
paper_31,18.28,1025.46,415.75,710.35,1406.53
US_388,19.1,336.71,412.85,5745.32,6817.31
US_322,19.13,727.22,322.51,363.37,7735.63
US_443,19.29,1654.3,736.41,16737.09,3359.72
US_235,19.57,689.79,577.83,4193.11,432.26
625_1,19.72,518.99,603.45,2490.98,6233.47
31678_26,19.72,403.7,1829.32,11974.36,198.35
US_289,21.55,917.88,491.96,209.08,5135.13
US_243,22.24,735.2,1291.19,1745.88,1512.03
US_320,22.61,314.61,2837.32,5550.92,3644.23
US_352,23.75,101.19,310.19,103.39,4296.66
US_34,23.94,316.3,236.0,259.3,0.23
US_43,23.94,203.24,454.44,156.56,3813.05
US_202,23.94,170.86,422.94,480.94,1644.23
US_286,24.26,917.88,491.96,209.08,2150.85
US_445,24.63,1537.97,2357.71,11309.14,3041.88
625_3,24.92,1372.47,364.4,5695.19,1608.96
US_9,24.93,276.3,467.4,9910.39,3509.92
US_30,25.2,201.26,849.96,18598.6,2310.31
US_436,25.39,1517.37,41181.96,17593.08,2306.63
US_179,26.03,1105.61,1145.11,961.82,3092.65
US_62,26.84,226.4,1499.96,3193.61,6904.24
US_198,27.01,1139.95,645.54,15963.77,1799.79
US_288,27.69,917.88,491.96,209.08,4831.66
US_444,28.3,1220.91,829.99,17642.87,3545.58
US_76,28.77,71.12,2480.42,797.55,4155.91
US_97,29.17,1434.79,241.62,83.99,9150.8
